,feature,shap,anwa,dataset,model,metric
16,Marital Status_2,0.002968255479307972,0.0005563540266126217,adult_16000,nn,accuracy
17,Marital Status_3,0.0020858652746941816,0.0009736195465708526,adult_16000,nn,accuracy
18,Marital Status_4,0.08375873306743799,0.11011173443367736,adult_16000,nn,accuracy
19,Marital Status_5,0.005140831690994133,0.006212619963837374,adult_16000,nn,accuracy
20,Marital Status_6,0.003686699657178792,0.006722611154899081,adult_16000,nn,accuracy
21,Occupation_0,0.009983653573862803,0.007232602345955847,adult_16000,nn,accuracy
22,Occupation_1,0.01834886964940898,0.008994390096898836,adult_16000,nn,accuracy
23,Occupation_10,0.010016263618631144,0.0014372479020832924,adult_16000,nn,accuracy
24,Occupation_11,0.00011124311079509375,3.294277601001923e-15,adult_16000,nn,accuracy
25,Occupation_12,0.007480404672685159,0.003987203857388534,adult_16000,nn,accuracy
26,Occupation_13,0.0011352325321421213,0.0003245398488547547,adult_16000,nn,accuracy
27,Occupation_14,0.009268676834735791,0.007649867865915725,adult_16000,nn,accuracy
28,Occupation_2,6.358240379045137e-05,3.294277601001923e-15,adult_16000,nn,accuracy
29,Occupation_3,0.02340325213506216,0.022300523900040958,adult_16000,nn,accuracy
30,Occupation_4,0.010350768904887588,0.003940841021837619,adult_16000,nn,accuracy
31,Occupation_5,0.009919018811163166,0.005980805786079507,adult_16000,nn,accuracy
32,Occupation_6,0.009105587138345868,0.006444434141591946,adult_16000,nn,accuracy
33,Occupation_7,0.013525461432941782,0.006768973990449996,adult_16000,nn,accuracy
34,Occupation_8,0.02498510776288042,0.03171217951689967,adult_16000,nn,accuracy
35,Occupation_9,0.0006683010149992849,0.0010199823821217672,adult_16000,nn,accuracy
36,Relationship_0,0.040760238435180236,0.025870462237469614,adult_16000,nn,accuracy
37,Relationship_1,0.02418508094075858,0.025545922388611565,adult_16000,nn,accuracy
38,Relationship_2,0.007636957355383868,0.01117344336779182,adult_16000,nn,accuracy
39,Relationship_3,0.04831947017873892,0.04803189763085948,adult_16000,nn,accuracy
40,Relationship_4,0.005472144581796425,0.0012517965598796343,adult_16000,nn,accuracy
41,Relationship_5,0.01244902902486747,0.0075571421948171895,adult_16000,nn,accuracy
42,Race_0,0.0014488653438859299,0.002410867448650851,adult_16000,nn,accuracy
43,Race_1,0.007329118047070083,0.004729009226204814,adult_16000,nn,accuracy
44,Race_2,0.017586778663416493,0.023737771802125898,adult_16000,nn,accuracy
45,Race_3,0.002416756426192932,0.004079929528490363,adult_16000,nn,accuracy
46,Race_4,0.020805744929170342,0.019704205109184803,adult_16000,nn,accuracy
47,Sex_0,0.08774948968358365,0.07992952848996115,adult_16000,nn,accuracy
48,Sex_1,0.04401272868164196,0.009040752932448102,adult_16000,nn,accuracy
0,Age,0.06502389838433484,0.13418008467513273,adult_32000,nn,accuracy
1,Education-Num,0.07934051118614088,0.15576557655765275,adult_32000,nn,accuracy
2,Capital Gain,0.08599362829162102,0.08299163249658162,adult_32000,nn,accuracy
3,Capital Loss,0.018919429141129488,0.0007334066740025631,adult_32000,nn,accuracy
4,Hours per week,0.03788755687765757,0.0978431176450977,adult_32000,nn,accuracy
5,Workclass_0,0.008329433941759029,0.006167283395008257,adult_32000,nn,accuracy
6,Workclass_1,0.0018591075139256057,0.001316798346502368,adult_32000,nn,accuracy
7,Workclass_2,0.0122884362467505,0.006967363403008361,adult_32000,nn,accuracy
8,Workclass_3,1.286654845322684e-05,0.0,adult_32000,nn,accuracy
9,Workclass_4,0.0467263028883521,0.042754275427541184,adult_32000,nn,accuracy
10,Workclass_5,0.004563346192642907,0.00035003500350130407,adult_32000,nn,accuracy
11,Workclass_6,0.018554956872459314,0.013084641797513724,adult_32000,nn,accuracy
12,Workclass_7,0.009321480125620603,0.00343367670100484,adult_32000,nn,accuracy
13,Workclass_8,4.758140056941929e-05,3.333666699877065e-05,adult_32000,nn,accuracy
14,Marital Status_0,0.026314162053872665,0.021352135213521514,adult_32000,nn,accuracy
15,Marital Status_1,0.0004865177212149343,0.0005500550055010341,adult_32000,nn,accuracy
16,Marital Status_2,0.01732561771382904,0.0011001100110008839,adult_32000,nn,accuracy
17,Marital Status_3,0.00257665436917539,0.002850285028503851,adult_32000,nn,accuracy
18,Marital Status_4,0.13432225159575592,0.08140814081407843,adult_32000,nn,accuracy
19,Marital Status_5,0.00730167620702344,0.005650565056505993,adult_32000,nn,accuracy
20,Marital Status_6,0.0036553094448005035,0.0010167683435015884,adult_32000,nn,accuracy
21,Occupation_0,0.009008196427422387,0.00773410674400851,adult_32000,nn,accuracy
22,Occupation_1,0.013250446205525339,0.014751475147516211,adult_32000,nn,accuracy
23,Occupation_10,0.0010143431285540012,0.0012667933460018433,adult_32000,nn,accuracy
24,Occupation_11,0.00048667707997153886,0.0007500750075007641,adult_32000,nn,accuracy
25,Occupation_12,0.006766558486898842,0.0031336466980040607,adult_32000,nn,accuracy
26,Occupation_13,0.0003865738376321764,0.0002833616694990253,adult_32000,nn,accuracy
27,Occupation_14,0.00919566376065263,0.006850685068507926,adult_32000,nn,accuracy
28,Occupation_2,8.453690025857566e-05,0.0003500350035001197,adult_32000,nn,accuracy
29,Occupation_3,0.02134401960144094,0.017635096843016465,adult_32000,nn,accuracy
30,Occupation_4,0.0038811346850944144,8.334166750047968e-05,adult_32000,nn,accuracy
31,Occupation_5,0.007489482184906044,0.007550755075506981,adult_32000,nn,accuracy
32,Occupation_6,0.008989463089694638,0.007134046738008136,adult_32000,nn,accuracy
33,Occupation_7,0.012852626523137586,0.009417608427511567,adult_32000,nn,accuracy
34,Occupation_8,0.019989578390633294,0.025385871920525546,adult_32000,nn,accuracy
35,Occupation_9,0.0010534438265411767,0.0015501550155020529,adult_32000,nn,accuracy
36,Relationship_0,0.04025471141655427,0.04102076874353997,adult_32000,nn,accuracy
37,Relationship_1,0.019683163457771644,0.018435176851017754,adult_32000,nn,accuracy
38,Relationship_2,0.005594805723473147,0.006450645064507282,adult_32000,nn,accuracy
39,Relationship_3,0.030038574583900707,0.03201986865352843,adult_32000,nn,accuracy
40,Relationship_4,0.0280664570740879,0.0006667333400014688,adult_32000,nn,accuracy
41,Relationship_5,0.010236589752060885,0.006217288395506413,adult_32000,nn,accuracy
42,Race_0,0.0021905400158650284,0.0015168183485009135,adult_32000,nn,accuracy
43,Race_1,0.005968232992507602,0.004383771710506519,adult_32000,nn,accuracy
44,Race_2,0.016750395976867834,0.013768043471012209,adult_32000,nn,accuracy
45,Race_3,0.0019267528498481308,0.0011001100109996995,adult_32000,nn,accuracy
46,Race_4,0.023058616629654728,0.016951695169519165,adult_32000,nn,accuracy
47,Sex_0,0.07910382624049386,0.07625762576257532,adult_32000,nn,accuracy
48,Sex_1,0.040483864441462146,0.017785111844515672,adult_32000,nn,accuracy
